date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2018-02-01,SPY,,,
2018-02-02,SPY,,,
2018-02-05,SPY,,,
2018-02-06,SPY,,,
2018-02-07,SPY,,,
2018-02-08,SPY,,,
2018-02-09,SPY,,,
2018-02-12,SPY,,,
2018-02-13,SPY,,,
2018-02-14,SPY,,,
2018-02-15,SPY,,,
2018-02-16,SPY,,,
2018-02-20,SPY,,,
2018-02-21,SPY,,,
2018-02-22,SPY,,,
2018-02-23,SPY,,,
2018-02-26,SPY,,,
2018-02-27,SPY,,,
2018-02-28,SPY,,,
2018-03-01,SPY,,,
2018-03-02,SPY,,,
2018-03-05,SPY,,,
2018-03-06,SPY,,,
2018-03-07,SPY,,,
2018-03-08,SPY,,,
2018-03-09,SPY,,,
2018-03-12,SPY,,,
2018-03-13,SPY,,,
2018-03-14,SPY,,,
2018-03-15,SPY,,,
2018-03-16,SPY,,,
2018-03-19,SPY,,,
2018-03-20,SPY,,,
2018-03-21,SPY,,,
2018-03-22,SPY,,,
2018-03-23,SPY,,,
2018-03-26,SPY,,,
2018-03-27,SPY,,,
2018-03-28,SPY,,,
2018-03-29,SPY,,,
2018-04-02,SPY,,,
2018-04-03,SPY,,,
2018-04-04,SPY,,,
2018-04-05,SPY,,,
2018-04-06,SPY,,,
2018-04-09,SPY,,,
2018-04-10,SPY,,,
2018-04-11,SPY,,,
2018-04-12,SPY,,,
2018-04-13,SPY,,,
2018-04-16,SPY,,,
2018-04-17,SPY,,,
2018-04-18,SPY,,,
2018-04-19,SPY,,,
2018-04-20,SPY,,,
2018-04-23,SPY,,,
2018-04-24,SPY,,,
2018-04-25,SPY,,,
2018-04-26,SPY,,,
2018-04-27,SPY,,,
2018-04-30,SPY,,,
2018-05-01,SPY,,,
2018-05-02,SPY,,,
2018-05-03,SPY,,,
2018-05-04,SPY,,,
2018-05-07,SPY,,,
2018-05-08,SPY,,,
2018-05-09,SPY,,,
2018-05-10,SPY,,,
2018-05-11,SPY,,,
2018-05-14,SPY,,,
2018-05-15,SPY,,,
2018-05-16,SPY,,,
2018-05-17,SPY,,,
2018-05-18,SPY,,,
2018-05-21,SPY,,,
2018-05-22,SPY,,,
2018-05-23,SPY,,,
2018-05-24,SPY,,,
2018-05-25,SPY,,,
2018-05-29,SPY,,,
2018-05-30,SPY,,,
2018-05-31,SPY,,,
2018-06-01,SPY,,,
2018-06-04,SPY,,,
2018-06-05,SPY,,,
2018-06-06,SPY,,,
2018-06-07,SPY,,,
2018-06-08,SPY,,,
2018-06-11,SPY,,,
2018-06-12,SPY,,,
2018-06-13,SPY,,,
2018-06-14,SPY,,,
2018-06-15,SPY,,,
2018-06-18,SPY,,,
2018-06-19,SPY,,,
2018-06-20,SPY,,,
2018-06-21,SPY,,,
2018-06-22,SPY,,,
2018-06-25,SPY,,,
2018-06-26,SPY,,,
2018-06-27,SPY,,,
2018-06-28,SPY,,,
2018-06-29,SPY,,,
2018-07-02,SPY,,,
2018-07-03,SPY,,,
2018-07-05,SPY,,,
2018-07-06,SPY,,,
2018-07-09,SPY,,,
2018-07-10,SPY,,,
2018-07-11,SPY,,,
2018-07-12,SPY,,,
2018-07-13,SPY,,,
2018-07-16,SPY,,,
2018-07-17,SPY,,,
2018-07-18,SPY,,,
2018-07-19,SPY,,,
2018-07-20,SPY,,,
2018-07-23,SPY,,,
2018-07-24,SPY,,,
2018-07-25,SPY,,,
2018-07-26,SPY,,,
2018-07-27,SPY,,,
2018-07-30,SPY,,,
2018-07-31,SPY,,,
2018-08-01,SPY,,,
2018-08-02,SPY,,,
2018-08-03,SPY,,,
2018-08-06,SPY,,,
2018-08-07,SPY,,,
2018-08-08,SPY,,,
2018-08-09,SPY,,,
2018-08-10,SPY,,,
2018-08-13,SPY,,,
2018-08-14,SPY,,,
2018-08-15,SPY,,,
2018-08-16,SPY,,,
2018-08-17,SPY,,,
2018-08-20,SPY,,,
2018-08-21,SPY,,,
2018-08-22,SPY,,,
2018-08-23,SPY,,,
2018-08-24,SPY,,,
2018-08-27,SPY,,,
2018-08-28,SPY,,,
2018-08-29,SPY,,,
2018-08-30,SPY,,,
2018-08-31,SPY,,,
2018-09-04,SPY,,,
2018-09-05,SPY,,,
2018-09-06,SPY,,,
2018-09-07,SPY,,,
2018-09-10,SPY,,,
2018-09-11,SPY,,,
2018-09-12,SPY,,,
2018-09-13,SPY,,,
2018-09-14,SPY,,,
2018-09-17,SPY,,,
2018-09-18,SPY,,,
2018-09-19,SPY,,,
2018-09-20,SPY,,,
2018-09-21,SPY,,,
2018-09-24,SPY,,,
2018-09-25,SPY,,,
2018-09-26,SPY,,,
2018-09-27,SPY,,,
2018-09-28,SPY,,,
2018-10-01,SPY,,,
2018-10-02,SPY,,,
2018-10-03,SPY,,,
2018-10-04,SPY,,,
2018-10-05,SPY,,,
2018-10-08,SPY,,,
2018-10-09,SPY,,,
2018-10-10,SPY,,,
2018-10-11,SPY,,,
2018-10-12,SPY,,,
2018-10-15,SPY,,,
2018-10-16,SPY,,,
2018-10-17,SPY,,,
2018-10-18,SPY,,,
2018-10-19,SPY,,,
2018-10-22,SPY,,,
2018-10-23,SPY,,,
2018-10-24,SPY,,,
2018-10-25,SPY,,,
2018-10-26,SPY,,,
2018-10-29,SPY,,,
2018-10-30,SPY,,,
2018-10-31,SPY,,,
2018-11-01,SPY,,,
2018-11-02,SPY,,,
2018-11-05,SPY,,,
2018-11-06,SPY,,,
2018-11-07,SPY,,,
2018-11-08,SPY,,,
2018-11-09,SPY,,,
2018-11-12,SPY,,,
2018-11-13,SPY,,,
2018-11-14,SPY,,,
2018-11-15,SPY,,,
2018-11-16,SPY,,,
2018-11-19,SPY,,,
2018-11-20,SPY,,,
2018-11-21,SPY,,,
2018-11-23,SPY,,,
2018-11-26,SPY,,,
2018-11-27,SPY,,,
2018-11-28,SPY,,,
2018-11-29,SPY,,,
2018-11-30,SPY,,,
2018-12-03,SPY,,,
2018-12-04,SPY,,,
2018-12-06,SPY,,,
2018-12-07,SPY,,,
2018-12-10,SPY,,,
2018-12-11,SPY,,,
2018-12-12,SPY,,,
2018-12-13,SPY,,,
2018-12-14,SPY,,,
2018-12-17,SPY,,,
2018-12-18,SPY,,,
2018-12-19,SPY,,,
2018-12-20,SPY,,,
2018-12-21,SPY,,,
2018-12-24,SPY,,,
2018-12-26,SPY,,,
2018-12-27,SPY,,,
2018-12-28,SPY,,,
2018-12-31,SPY,,,
2019-01-02,SPY,,,
2019-01-03,SPY,,,
2019-01-04,SPY,,,
2019-01-07,SPY,,,
2019-01-08,SPY,,,
2019-01-09,SPY,,,
2019-01-10,SPY,,,
2019-01-11,SPY,,,
2019-01-14,SPY,,,
2019-01-15,SPY,,,
2019-01-16,SPY,,,
2019-01-17,SPY,,,
2019-01-18,SPY,,,
2019-01-22,SPY,,,
2019-01-23,SPY,,,
2019-01-24,SPY,,,
2019-01-25,SPY,,,
2019-01-28,SPY,,,
2019-01-29,SPY,,,
2019-01-30,SPY,,,
2019-01-31,SPY,,,
2019-02-01,SPY,-0.023803308259323752,0.1763934562624613,-0.24832728598586704
2019-02-04,SPY,-0.01581850849688382,0.17653142211667244,-0.20290160282746036
2019-02-05,SPY,0.010301473450943677,0.17522145057593677,-0.055350109916212656
2019-02-06,SPY,0.05300857060916053,0.17009828402534574,0.19405587068851346
2019-02-07,SPY,0.02281852399650308,0.16925399160812166,0.016652629398713894
2019-02-08,SPY,0.029653938575144423,0.16916481592906096,0.05706824153784312
2019-02-11,SPY,0.07037350073213222,0.16488042035596187,0.3055153584845332
2019-02-12,SPY,0.06809377302018627,0.16470101779983784,0.2920065319731959
2019-02-13,SPY,0.05605418206729418,0.16409517209655597,0.21971506904590327
2019-02-14,SPY,0.0510966580790142,0.1640987971245965,0.1894996101367106
2019-02-15,SPY,0.0484018296045734,0.16390869817488507,0.17327835508930467
2019-02-19,SPY,0.03698390027572751,0.1634333013354412,0.10391945911236683
2019-02-20,SPY,0.038769503425820195,0.16344339832274268,0.11483794156529399
2019-02-21,SPY,0.04159728278613839,0.16335833449616283,0.1322080250925042
2019-02-22,SPY,0.05329499081073852,0.16338418105516306,0.20378344216504776
2019-02-25,SPY,0.05336317744964081,0.16338460705752145,0.20420024903505696
2019-02-26,SPY,0.03609489375527963,0.16262695921449835,0.09896817743515159
2019-02-27,SPY,0.023761522916998956,0.16222336416952393,0.02318730681154012
2019-02-28,SPY,0.03477566611591376,0.16173997043288998,0.09135445045752967
2019-03-01,SPY,0.05189209940368689,0.16151997492486125,0.19744987837277103
2019-03-04,SPY,0.0635302229685979,0.16088418448631095,0.2705686895675051
2019-03-05,SPY,0.056636706723933505,0.16081853072959987,0.22781396246888008
2019-03-06,SPY,0.03823721279866299,0.1605416469644282,0.11359801735872235
2019-03-07,SPY,0.02694877932562023,0.1607523647792414,0.043226607180322826
2019-03-08,SPY,0.025270653920062225,0.16076600220491127,0.03278463013183772
2019-03-11,SPY,0.0351293858229389,0.16133828325993396,0.09377430772933024
2019-03-12,SPY,0.021260364391807673,0.1604515048706369,0.007855111068131363
2019-03-13,SPY,0.029312192649516344,0.16057620736087866,0.057992356417960106
2019-03-14,SPY,0.03534455154477523,0.16044041322386957,0.09564018962830954
2019-03-15,SPY,0.045826235437876894,0.16042124434452545,0.16099012037590046
2019-03-18,SPY,0.050763363941043194,0.1604516415725708,0.19172981740501052
2019-03-19,SPY,0.049885555322803254,0.16044944284214335,0.18626150888043824
2019-03-20,SPY,0.061082424857072715,0.1598866046565527,0.2569472592486441
2019-03-21,SPY,0.07124504563884715,0.16025924372777953,0.31976343109351807
2019-03-22,SPY,0.05264790615700066,0.16143510032945377,0.20223548714234643
2019-03-25,SPY,0.0788238413177118,0.1594357262521027,0.3689501888974273
2019-03-26,SPY,0.11053625690527347,0.15810064534458168,0.5726495088489293
2019-03-27,SPY,0.07530979802155668,0.15587820676261743,0.35482700994749333
2019-03-28,SPY,0.09806573157928433,0.15493911312204217,0.5038478019284495
2019-03-29,SPY,0.10826391894952936,0.15501339134610623,0.5693954450197019
2019-04-01,SPY,0.10725887081951724,0.15494279771880776,0.563168292455102
2019-04-02,SPY,0.1322405431215503,0.1533551327377919,0.731899487925587
2019-04-03,SPY,0.1196717056211476,0.15286280841357908,0.6520337200104298
2019-04-04,SPY,0.11075821450168011,0.15253494908245915,0.594999474203233
2019-04-05,SPY,0.10739483454472776,0.1524162007293087,0.5733959653012284
2019-04-08,SPY,0.1335002325920458,0.15069727309988223,0.7531671294199052
2019-04-09,SPY,0.12216013632778933,0.1507388414459776,0.6777293453220674
2019-04-10,SPY,0.10836464415352443,0.14997344642862567,0.5892019304602586
2019-04-11,SPY,0.11389619029417108,0.14986630493267278,0.6265330311330076
2019-04-12,SPY,0.11228215744405334,0.14979751522837176,0.6160459824942078
2019-04-15,SPY,0.11482376580699727,0.14976292168159402,0.6331591607741128
2019-04-16,SPY,0.10645706944447286,0.14956100850313728,0.5780722549932477
2019-04-17,SPY,0.0920666724715864,0.14923360297525157,0.48291183108095104
2019-04-18,SPY,0.09340703665327488,0.14924152312624772,0.49186737789574647
2019-04-22,SPY,0.10045553915682781,0.14912272060247206,0.5395256928775082
2019-04-23,SPY,0.11984599098597637,0.149098891702119,0.6696628650027541
2019-04-24,SPY,0.11752762665412719,0.1491222170991929,0.6540113777228372
2019-04-25,SPY,0.13208565400933425,0.14846732290947068,0.7549516742999368
2019-04-26,SPY,0.13455338177621323,0.14851199902399978,0.7713409187745242
2019-04-29,SPY,0.12489605635605439,0.14820131032183942,0.7077943921565757
2019-04-30,SPY,0.12441525638706552,0.14820068732941957,0.7045531182657199
2019-05-01,SPY,0.1246122464446704,0.14819113244944276,0.7059278427497013
2019-05-02,SPY,0.12019391491475462,0.1482096011406045,0.6760285038464003
2019-05-03,SPY,0.13880787964337937,0.1483222858235553,0.8010116550166549
2019-05-06,SPY,0.13662649662074355,0.1483703416995447,0.7860499294186194
2019-05-07,SPY,0.10336007730022123,0.1488449327793945,0.5600464573676186
2019-05-08,SPY,0.09811268453158406,0.14882650787376475,0.524857336556197
2019-05-09,SPY,0.09478993735280938,0.14886573904574593,0.5023985897106028
2019-05-10,SPY,0.0897563587037482,0.14864796920587894,0.4692721944094301
2019-05-13,SPY,0.05252828980223767,0.15054695232350584,0.2160674082085607
2019-05-14,SPY,0.05881633374289286,0.15077806401622237,0.2574401919546902
2019-05-15,SPY,0.06451126432956666,0.15088139101946352,0.2950083110237548
2019-05-16,SPY,0.08182049517801548,0.1509739683922386,0.40947784466658826
2019-05-17,SPY,0.07032534904247578,0.15107795402920488,0.33310848936137555
2019-05-20,SPY,0.06414733302471132,0.1512323996900011,0.29191716269268564
2019-05-21,SPY,0.07643222778086689,0.15145720100750723,0.37259521109247046
2019-05-22,SPY,0.06511843246892468,0.15132326503162702,0.2981592583235287
2019-05-23,SPY,0.055037034718001365,0.15180946138481935,0.23079612033657473
2019-05-24,SPY,0.05452886697202142,0.1518022669325692,0.22745949497156842
2019-05-28,SPY,0.046865865882897095,0.1520857520912013,0.17664945935755005
2019-05-29,SPY,0.04232425598947498,0.15222185234414284,0.1466560526343113
2019-05-30,SPY,0.05733141723028634,0.15178723039114222,0.2459457039573526
2019-05-31,SPY,0.029347344498420025,0.15183666176042182,0.06156184145545098
2019-06-03,SPY,0.03305821190067548,0.15172996900013755,0.08606217998148832
2019-06-04,SPY,0.04522110693746595,0.1529494705296365,0.16489829516983479
